1,2021-10-10 15:00:00,11019101,110191
2,2021-10-17 15:00:00,11019102,110191
3,2021-11-07 15:00:00,11019103,110191
4,2021-11-14 15:00:00,11019104,110191
5,2021-12-05 15:00:00,11019105,110191
6,2021-12-12 15:00:00,11019106,110191
7,2022-01-16 15:00:00,11019107,110191
8,2021-10-10 15:00:00,11019108,110191
9,2021-10-24 15:00:00,11019109,110191
10,2021-11-07 15:00:00,11019110,110191
1,2021-10-10 15:00:00,11019201,110192
2,2021-10-17 15:00:00,11019202,110192
3,2021-11-07 15:00:00,11019203,110192
4,2021-11-14 15:00:00,11019204,110192
5,2021-12-05 15:00:00,11019205,110192
6,2021-12-12 15:00:00,11019206,110192
7,2022-01-16 15:00:00,11019207,110192
8,2021-10-10 15:00:00,11019208,110192
9,2021-10-24 15:00:00,11019209,110192
10,2021-11-07 15:00:00,11019210,110192
1,2021-10-10 15:00:00,11019301,110193
2,2021-10-17 15:00:00,11019302,110193
3,2021-11-07 15:00:00,11019303,110193
4,2021-11-14 15:00:00,11019304,110193
5,2021-12-05 15:00:00,11019305,110193
6,2021-12-12 15:00:00,11019306,110193
7,2022-01-16 15:00:00,11019307,110193
8,2021-10-10 15:00:00,11019308,110193
9,2021-10-24 15:00:00,11019309,110193
10,2021-11-07 15:00:00,11019310,110193
1,2021-10-10 15:00:00,11019401,110194
2,2021-10-17 15:00:00,11019402,110194
3,2021-11-07 15:00:00,11019403,110194
4,2021-11-14 15:00:00,11019404,110194
5,2021-12-05 15:00:00,11019405,110194
6,2021-12-12 15:00:00,11019406,110194
7,2022-01-16 15:00:00,11019407,110194
8,2021-10-10 15:00:00,11019408,110194
9,2021-10-24 15:00:00,11019409,110194
10,2021-11-07 15:00:00,11019410,110194
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
