,
1725012,2
1725034,1
1725061,1
1725037,1
1725164,1
1725179,2
1725032,1
1725169,0
1725188,0
1725145,1
,
1725094,2
1725104,1
1725134,1
1725127,1
1725153,1
1725163,1
1725013,1
1725071,0
1725154,2
1725101,0
,
1725059,2
1725167,1
1725057,0
1725102,2
1725041,1
1725039,0
1725136,2
,
1725036,2
1725068,2
1725085,1
1725033,2
1725091,2
1725172,0
1725198,0
,
1725074,2
1725058,1
1725021,2
1725181,1
1725105,0
1725090,0
1725047,2
,
1725025,1
1725196,2
1725191,1
1725125,1
1725092,1
1725079,1
1725113,0
1725002,0
1725160,1
,
1725142,0
1725062,3
1725009,2
1725040,1
1725148,1
1725055,0
1725165,0
1725098,0
,
1725106,1
1725027,2
1725007,2
1725182,1
1725190,1
1725112,2
1725015,1
1725089,0
1725017,0
,
1725177,1
1725155,0
1725159,1
1725197,1
1725171,0
1725072,2
1725031,2
1725143,1
1725014,0
,
1725146,3
1725080,1
1725063,2
1725173,1
1725026,1
1725178,1
1725201,0
1725192,1
,
1725100,4
1725042,3
91725158,3
1725065,3
1725044,2
1725081,2
91725003,0
