,,,,
1317057,3,,,
1317058,1,,,
1317001,2,,,
1317030,1,,,
1317009,0,,,
1317051,0,,,
,,,,
1317024,2,,,
1317045,1,,,
1317026,3,,,
1317043,1,,,
1317040,1,,,
1317021,0,,,
,,,,
1317052,1,,,
1317047,2,,,
1317011,2,,,
1317037,1,,,
1317025,3,,,
1317060,2,,,
1317053,0,,,
1317064,0,,,
1317014,0,,,
,,,,
1317034,4,,,
1317050,0,,,
1317049,0,,,
1317063,1,,,
1317055,2,,,
1317027,1,,,
,,,,
1317002,3,,,
1317039,2,,,
1317022,2,,,
1317065,1,,,
1317066,1,,,
1317028,0,,,
,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
