,,,,,,,,,,,,,,,,,
1920010,2,,,,,,,,,,,,,,,,
1933008,4,,,,,,,,,,,,,,,,
1933030,3,,,,,,,,,,,,,,,,
1933044,3,,,,,,,,,,,,,,,,
1933045,2,,,,,,,,,,,,,,,,
1920065,2,,,,,,,,,,,,,,,,
1920012,1,,,,,,,,,,,,,,,,
1933016,3,,,,,,,,,,,,,,,,
1933024,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1932048,2,,,,,,,,,,,,,,,,
1932021,2,,,,,,,,,,,,,,,,
1932072,2,,,,,,,,,,,,,,,,
1920080,1,,,,,,,,,,,,,,,,
1927048,1,,,,,,,,,,,,,,,,
1932027,4,,,,,,,,,,,,,,,,
1927069,2,,,,,,,,,,,,,,,,
1932035,2,,,,,,,,,,,,,,,,
1932037,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1920008,4,,,,,,,,,,,,,,,,
1932074,1,,,,,,,,,,,,,,,,
1919066,3,,,,,,,,,,,,,,,,
1920033,2,,,,,,,,,,,,,,,,
1932055,1,,,,,,,,,,,,,,,,
1932065,1,,,,,,,,,,,,,,,,
1932046,2,,,,,,,,,,,,,,,,
1920056,1,,,,,,,,,,,,,,,,
1920040,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1914040,2,,,,,,,,,,,,,,,,
1914008,3,,,,,,,,,,,,,,,,
1914038,2,,,,,,,,,,,,,,,,
1919034,1,,,,,,,,,,,,,,,,
1914012,3,,,,,,,,,,,,,,,,
1919017,2,,,,,,,,,,,,,,,,
1914021,1,,,,,,,,,,,,,,,,
1914014,3,,,,,,,,,,,,,,,,
1919053,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1920052,3,,,,,,,,,,,,,,,,
1920039,2,,,,,,,,,,,,,,,,
1933020,2,,,,,,,,,,,,,,,,
1933003,1,,,,,,,,,,,,,,,,
1920051,1,,,,,,,,,,,,,,,,
1933017,3,,,,,,,,,,,,,,,,
1920021,2,,,,,,,,,,,,,,,,
1920044,3,,,,,,,,,,,,,,,,
1933014,2,,,,,,,,,,,,,,,,
1933047,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1927083,2,,,,,,,,,,,,,,,,
1927017,2,,,,,,,,,,,,,,,,
1932051,3,,,,,,,,,,,,,,,,
1927081,2,,,,,,,,,,,,,,,,
1927071,3,,,,,,,,,,,,,,,,
1927031,1,,,,,,,,,,,,,,,,
1932013,3,,,,,,,,,,,,,,,,
1932034,3,,,,,,,,,,,,,,,,
1932061,3,,,,,,,,,,,,,,,,
1927029,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1919016,3,,,,,,,,,,,,,,,,
1919052,2,,,,,,,,,,,,,,,,
1932028,3,,,,,,,,,,,,,,,,
1932064,1,,,,,,,,,,,,,,,,
1932030,4,,,,,,,,,,,,,,,,
1932024,1,,,,,,,,,,,,,,,,
1919060,4,,,,,,,,,,,,,,,,
1920074,2,,,,,,,,,,,,,,,,
1932019,2,,,,,,,,,,,,,,,,
1932050,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1919003,3,,,,,,,,,,,,,,,,
1920047,3,,,,,,,,,,,,,,,,
1919009,2,,,,,,,,,,,,,,,,
1914004,2,,,,,,,,,,,,,,,,
1919048,1,,,,,,,,,,,,,,,,
1914005,1,,,,,,,,,,,,,,,,
1914026,1,,,,,,,,,,,,,,,,
1919063,1,,,,,,,,,,,,,,,,
1914037,2,,,,,,,,,,,,,,,,
1919051,1,,,,,,,,,,,,,,,,
