,,,,
2026055,8,40,7,1
2026047,7,39,6,1
2035070,5,33,4,1
2026036,4,30,3,1
2035042,5,25,2,3
2035023,1,17,1,0
2026065,2,12,0,2
2034066,1,9,0,1
2035065,2,6,0,2
,,,,
2026098,5,37,4,1
2026040,5,37,5,0
2026009,5,37,4,1
2029073,4,28,2,2
2029046,2,22,0,2
2029144,2,22,0,2
2029007,1,21,0,1
2029178,3,19,0,3
2029174,5,13,0,5
2029089,3,11,1,2
,,,,
2012051,4,36,3,1
2012040,4,34,2,2
2012001,5,27,2,3
2012004,1,27,0,1
2012015,4,24,1,3
2029060,1,17,0,1
2029184,4,16,1,3
2029146,4,14,1,3
2029147,-2,-2,0,0
,,,,
2029189,8,48,7,1
2029115,4,36,2,2
2029091,4,34,4,0
2029043,3,33,2,1
2029053,7,27,3,4
2029117,3,27,2,1
2029166,2,22,0,2
2029029,5,17,2,3
2029192,1,5,0,1
2029054,-1,-1,0,1
,,,,
2035017,10,58,10,0
2026085,5,37,3,2
2026090,0,36,0,0
2026038,2,34,1,1
2026014,3,31,0,3
2035053,4,22,1,3
2035055,4,16,0,4
2026017,7,15,1,6
2026072,7,11,1,6
2026078,2,6,0,2
,,,,
2026043,5,49,5,0
2029025,7,47,6,1
2029017,7,33,4,3
2029057,3,27,1,2
2029061,3,25,2,1
2029062,0,20,0,0
2029055,3,15,0,3
2029171,3,15,1,2
2029059,2,14,1,1
2026022,0,4,0,2
,,,,
2012035,7,41,5,2
2012052,5,39,4,1
2029078,4,36,4,0
2012047,6,30,3,3
2012011,3,23,2,1
2029176,2,22,1,1
2012019,3,21,1,2
2029153,4,12,2,2
2012012,2,10,1,1
2029068,2,4,1,1
,,,,
2029023,7,39,6,1
2029172,5,33,4,1
2029083,4,32,2,2
2029093,4,20,1,3
2029114,4,18,1,3
2029132,2,18,1,1
2029142,3,15,0,3
2029143,0,14,0,0
2029161,2,10,0,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
