,,,,
91932045,7,59,6,1
91933029,8,44,4,4
91920073,6,42,4,2
91623036,7,39,4,3
91920037,5,35,2,3
91920024,7,35,4,3
91216052,9,33,4,5
91725048,4,28,2,2
91317015,4,24,2,2
91927030,3,21,2,3
91725150,1,7,0,1
91725016,-1,-1,0,1
,,,,
92221010,8,48,4,4
91115037,5,45,2,3
91013027,9,45,6,3
92221014,3,45,3,0
91010039,6,40,3,3
92234070,6,40,5,1
91028090,6,38,4,2
92234015,3,27,1,2
91115043,3,23,1,2
91028067,2,14,0,2
92234011,4,10,1,3
91115005,3,7,1,2
,,,,
92234043,5,49,5,0
92029134,7,47,5,2
92029152,7,47,4,3
92029106,9,41,5,4
92035010,9,37,4,5
92029084,2,34,1,1
92029027,5,29,5,0
92029030,5,23,1,4
91929050,3,19,1,2
92029160,1,17,0,1
91932029,2,12,0,2
92029066,1,9,0,1
,,,,
91919059,8,56,5,3
91914033,6,38,3,3
91914023,7,35,2,5
91919044,8,34,3,5
91919040,4,34,1,3
92012008,5,33,2,3
92012059,5,29,2,3
91919002,1,29,0,1
92012024,1,25,0,1
92012017,2,24,0,2
91919046,4,24,1,3
92012045,2,8,0,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
